Core,Colony,TimePoint,Sample.Time,Date,C.SH,D.SH,Tot.SH,D.Prp,Bleached_1,Experiment,Temperature,Bleaching,Tre_1,Rep_1,Tre_2,Tre_3,Rep_3,,Tre_4
S1-26,S1,T1,T1_S1-26,2015-08-04,0.0013497501,0,0.0013497501,0,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T16,T16_S1-26,2017-03-23,0.0005104286,0,0.0005104286,0,Yes,Nutrients2,26,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T14,T14_S1-26,2016-07-19,0.0024658006,2.57048794569388E-05,0.0024915055,0.0103170071,Yes,Nutrients2,27,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T11,T11_S1-26,2016-04-05,0.0035386103,0.000008989,0.0035475992,0.0025338123,Yes,Nutrients1,27,Recovery ,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T23,T23_S1-26,2017-06-15,0.004764749,2.87214748194765E-05,0.0047934705,0.0059917913,Yes,Nutrients2,32,Bleaching,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T20,T20_S1-26,2017-06-01,0.0039890703,1.45528290610978E-05,0.0040036232,0.0036349148,Yes,Nutrients2,32,Bleaching,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T9,T9_S1-26,2016-02-12,8.20647778111476E-05,0,8.20647778111476E-05,0,Yes,Nutrients1,32,Bleaching,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T5,T5_S1-26,2016-01-14,0.0008595158,0,0.0008595158,0,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T13,T13_S1-26,2016-06-13,0.0010283217,0,0.0010283217,0,Yes,Nutrients2,27,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T3,T3_S1-26,2015-10-21,0.0012772614,0,0.0012772614,0,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T8,T8_S1-26,2016-02-05,0.0007836078,0,0.0007836078,0,Yes,Nutrients1,32,Bleaching,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T17,T17_S1-26,2017-05-11,0.0053419618,6.79504578233134E-05,0.0054099123,0.0125603623,Yes,Nutrients2,26,Control,Control,1,NH4,NH4,1,,Ssid
S2-11,S2,T2,T2_S2-11,2015-09-17,0,0.0015531923,0.0015531923,1,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S2-11,S2,T0,T0_S2-11,2015-06-30,0,0.0105365937,0.0105365937,1,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S2-11,S2,T4,T4_S2-11,2015-12-12,0,0.0010856267,0.0010856267,1,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S2-11,S2,T8,T8_S2-11,2016-02-05,0,0.0728910326,0.0728910326,1,Yes,Nutrients1,32,Bleaching,Control,1,NA,NA,NA,,NA
S2-11,S2,T5,T5_S2-11,2016-01-14,0.0001048865,0.0022310209,0.0023359074,0.9550981931,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S2-11,S2,T3,T3_S2-11,2015-10-21,0,0.0169479174,0.0169479174,1,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S2-11,S2,T1,T1_S2-11,2015-08-04,0,0.0117961038,0.0117961038,1,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S2-11,S2,T9,T9_S2-11,2016-02-12,0,0.0017891225,0.0017891225,1,Yes,Nutrients1,32,Bleaching,Control,1,NA,NA,NA,,NA
S2-22,S2,T20,T20_S2-22,2017-06-01,0,0.005255389,0.005255389,1,Yes,Nutrients2,32,Bleaching,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T0,T0_S2-22,2015-06-30,0,0.0089578551,0.0089578551,1,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T15,T15_S2-22,2016-09-26,0,0.0021122894,0.0021122894,1,Yes,Nutrients2,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T23,T23_S2-22,2017-06-15,0,0.0264896447,0.0264896447,1,Yes,Nutrients2,32,Bleaching,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T17,T17_S2-22,2017-05-11,0,0.0384635145,0.0384635145,1,Yes,Nutrients2,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T26,T26_S2-22,2018-01-22,0,0.0025122037,0.0025122037,1,Yes,Mcav,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T12,T12_S2-22,2016-05-26,0,0.0034207296,0.0034207296,1,Yes,Nutrients1,27,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T16,T16_S2-22,2017-03-23,0,0.0010948876,0.0010948876,1,Yes,Nutrients2,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T13,T13_S2-22,2016-06-13,0,0.0118913762,0.0118913762,1,Yes,Nutrients2,27,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T5,T5_S2-22,2016-01-14,0,0.010896946,0.010896946,1,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T11,T11_S2-22,2016-04-05,0,0.0034893174,0.0034893174,1,Yes,Nutrients1,27,Recovery ,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T14,T14_S2-22,2016-07-19,0,0.0115034986,0.0115034986,1,Yes,Nutrients2,27,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T4,T4_S2-22,2015-12-12,0,0.0031890566,0.0031890566,1,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T9,T9_S2-22,2016-02-12,0,0.0016990847,0.0016990847,1,Yes,Nutrients1,32,Bleaching,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T10,T10_S2-22,2016-02-22,0,0.0016772871,0.0016772871,1,Yes,Nutrients1,32,Bleaching,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T24,T24_S2-22,2017-07-20,0,0.0014393391,0.0014393391,1,Yes,Mcav,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T3,T3_S2-22,2015-10-21,0,0.0111329231,0.0111329231,1,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T1,T1_S2-22,2015-08-04,8.17976131215235E-06,0.0088822978,0.0088904776,0.9990799413,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T2,T2_S2-22,2015-09-17,0,0.0062272256,0.0062272256,1,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Mcav
S2-22,S2,T8,T8_S2-22,2016-02-05,0,0.0035463188,0.0035463188,1,Yes,Nutrients1,32,Bleaching,Control,1,NO3,Control,1,,Mcav
S3-18,S3,T2,T2_S3-18,2015-09-17,0.005170603,0,0.005170603,0,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T5,T5_S3-18,2016-01-14,0.0230626842,0.0002803348,0.0234602971,0.011949329,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T12,T12_S3-18,2016-05-26,0,0.0121801763,0.0121801763,1,Yes,Nutrients1,27,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T23,T23_S3-18,2017-06-15,9.96936093902987E-05,0.0039883554,0.004088049,0.9756134016,Yes,Nutrients2,32,Bleaching,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T11,T11_S3-18,2016-04-05,0,0.0138583653,0.0138583653,1,Yes,Nutrients1,27,Recovery ,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T20,T20_S3-18,2017-06-01,0.0003897338,0.014244916,0.0146346497,0.9733691071,Yes,Nutrients2,32,Bleaching,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T13,T13_S3-18,2016-06-13,0.0008298736,0.0272000953,0.0280299689,0.9703933455,Yes,Nutrients2,27,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T24,T24_S3-18,2017-07-20,0,0.0051593696,0.0051593696,1,Yes,Mcav,26,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T9,T9_S3-18,2016-02-12,0,0.0002374257,0.0002374257,1,Yes,Nutrients1,32,Bleaching,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T14,T14_S3-18,2016-07-19,0,0.0151171307,0.0151171307,1,Yes,Nutrients2,27,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T15,T15_S3-18,2016-09-26,0,0.0024366844,0.0024366844,1,Yes,Nutrients2,26,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T0,T0_S3-18,2015-06-30,0.000443771,0.007287586,0.007731357,0.9426011479,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T4,T4_S3-18,2015-12-12,0.0023033418,0.0001136819,0.0024170237,0.0470338523,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T17,T17_S3-18,2017-05-11,0.0001519256,0.0231179512,0.0232698768,0.9934711479,Yes,Nutrients2,26,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T1,T1_S3-18,2015-08-04,0.0027183275,0.0081974489,0.0109739048,0.7469947141,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T3,T3_S3-18,2015-10-21,0.1075973089,0.0051157671,0.112713076,0.0453875209,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T16,T16_S3-18,2017-03-23,0,0.0011807494,0.0011807494,1,Yes,Nutrients2,26,Control,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T10,T10_S3-18,2016-02-22,0,0.000148086,0.000148086,1,Yes,Nutrients1,32,Bleaching,Control,1,NH4,NH4,1,,Ssid
S3-18,S3,T8,T8_S3-18,2016-02-05,0.0002109371,0.000151743,0.0003626801,0.4183935475,Yes,Nutrients1,32,Bleaching,Control,1,NH4,NH4,1,,Ssid
S3-29,S3,T3,T3_S3-29,2015-10-21,0.1164814387,0.0055111062,0.1219925449,0.0451757626,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S3-29,S3,T2,T2_S3-29,2015-09-17,0.0010366297,0.0011044129,0.0021410427,0.5158294868,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S3-29,S3,T1,T1_S3-29,2015-08-04,0.0053340083,0.0219678359,0.0274861088,0.7992341159,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S3-29,S3,T4,T4_S3-29,2015-12-12,0.008673247,0.0003201788,0.0089934258,0.0356014229,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S3-29,S3,T0,T0_S3-29,2015-06-30,0.0005264096,0.0087959276,0.0093223372,0.9435324451,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S3-29,S3,T5,T5_S3-29,2016-01-14,0.0399741152,4.54020723775874E-05,0.0400195172,0.0011344983,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S4-12,S4,T2,T2_S4-12,2015-09-17,0.0010732305,0.0011791466,0.0022523771,0.5235120571,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T23,T23_S4-12,2017-06-15,0,0.0025613403,0.0025613403,1,Yes,Nutrients2,32,Bleaching,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T15,T15_S4-12,2016-09-26,0,0.0031452092,0.0031452092,1,Yes,Nutrients2,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T11,T11_S4-12,2016-04-05,0,0.0045143559,0.0045143559,1,Yes,Nutrients1,27,Recovery ,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T16,T16_S4-12,2017-03-23,4.03162149245336E-06,0.002109302,0.0021133337,0.998092293,Yes,Nutrients2,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T26,T26_S4-12,2018-01-22,0,0.0012006753,0.0012006753,1,Yes,Mcav,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T1,T1_S4-12,2015-08-04,0.0202591213,0.011701324,0.0319604453,0.3661189291,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T24,T24_S4-12,2017-07-20,0,0.0229733807,0.0229733807,1,Yes,Mcav,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T17,T17_S4-12,2017-05-11,0.000014351,0.0096939459,0.0097082968,0.9985217845,Yes,Nutrients2,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T0,T0_S4-12,2015-06-30,0.0122719224,0.0176497107,0.0299216331,0.5898645516,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T13,T13_S4-12,2016-06-13,0,0.0043604328,0.0043604328,1,Yes,Nutrients2,27,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T14,T14_S4-12,2016-07-19,2.1656246981703E-05,0.002312324,0.0023339803,0.990721324,Yes,Nutrients2,27,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T9,T9_S4-12,2016-02-12,1.98144400467667E-05,0.000058691,7.85054100589066E-05,0.7476041456,Yes,Nutrients1,32,Bleaching,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T20,T20_S4-12,2017-06-01,0.0001402163,0.0638871697,0.0640273859,0.9978100581,Yes,Nutrients2,32,Bleaching,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T5,T5_S4-12,2016-01-14,0.0676324645,6.20241663503815E-05,0.0676944887,0.0009162366,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T4,T4_S4-12,2015-12-12,0.0069588547,0.0002791085,0.0072379632,0.0385617481,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T12,T12_S4-12,2016-05-26,0,0.0119517255,0.0119517255,1,Yes,Nutrients1,27,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T3,T3_S4-12,2015-10-21,0.0521894879,0.0072117629,0.0594012508,0.1214075933,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S4-12,S4,T8,T8_S4-12,2016-02-05,0.0062221897,0.0002119406,0.0064341303,0.0329400517,Yes,Nutrients1,32,Bleaching,Control,1,NO3,Control,1,,Ssid
S4-8,S4,T2,T2_S4-8,2015-09-17,0.0046360287,0,0.0046360287,0,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S4-8,S4,T4,T4_S4-8,2015-12-12,0.0044831935,0.0003735976,0.0048567911,0.0769227246,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S4-8,S4,T1,T1_S4-8,2015-08-04,0.0164463612,0.0061410328,0.022587394,0.2718787668,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S4-8,S4,T9,T9_S4-8,2016-02-12,2.19152491206132E-05,0,2.19152491206132E-05,0,Yes,Nutrients1,32,Bleaching,Control,1,NA,NA,NA,,NA
S4-8,S4,T3,T3_S4-8,2015-10-21,0.0942016811,0.0047440248,0.0989457059,0.0479457369,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S4-8,S4,T5,T5_S4-8,2016-01-14,0.047230823,0.0013331397,0.0485639627,0.0274512135,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S4-8,S4,T0,T0_S4-8,2015-06-30,0.0045692437,0.0083768832,0.0129461269,0.647057091,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S4-8,S4,T8,T8_S4-8,2016-02-05,0.000934325,0.000116083,0.0010504081,0.1105123298,Yes,Nutrients1,32,Bleaching,Control,1,NA,NA,NA,,NA
S5-24,S5,T5,T5_S5-24,2016-01-14,0.0014723119,0.0114006425,0.0128729544,0.8856275044,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T11,T11_S5-24,2016-04-05,0,0.0112719768,0.0112719768,1,Yes,Nutrients1,27,Recovery ,Control,1,NH4,NH4,1,,
S5-24,S5,T9,T9_S5-24,2016-02-12,1.68618761208988E-05,0.0004704303,0.0004872921,0.9653967822,Yes,Nutrients1,32,Bleaching,Control,1,NH4,NH4,1,,
S5-24,S5,T17,T17_S5-24,2017-05-11,0,0.0209369748,0.0209369748,1,Yes,Nutrients2,26,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T20,T20_S5-24,2017-06-01,0,0.013196869,0.013196869,1,Yes,Nutrients2,32,Bleaching,Control,1,NH4,NH4,1,,
S5-24,S5,T13,T13_S5-24,2016-06-13,0.0004556814,0.02231332,0.0227690013,0.9799867656,Yes,Nutrients2,27,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T2,T2_S5-24,2015-09-17,0,0.0171214523,0.0171214523,1,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T12,T12_S5-24,2016-05-26,0,0.0189526064,0.0189526064,1,Yes,Nutrients1,27,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T8,T8_S5-24,2016-02-05,0.0007584312,0.0197876416,0.0205460728,0.9630863172,Yes,Nutrients1,32,Bleaching,Control,1,NH4,NH4,1,,
S5-24,S5,T10,T10_S5-24,2016-02-22,0,4.20463143033965E-05,4.20463143033965E-05,1,Yes,Nutrients1,32,Bleaching,Control,1,NH4,NH4,1,,
S5-24,S5,T3,T3_S5-24,2015-10-21,0.0014985918,0.0674898127,0.0689884046,0.9782776274,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T15,T15_S5-24,2016-09-26,0.0001144896,0.0063254861,0.0064399758,0.9822220391,Yes,Nutrients2,26,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T1,T1_S5-24,2015-08-04,0.0006680971,0.0252492639,0.025917361,0.9742220237,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T4,T4_S5-24,2015-12-12,0.0008645428,0.0052733455,0.0061378883,0.8591465378,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T16,T16_S5-24,2017-03-23,0,0.0005178593,0.0005178593,1,Yes,Nutrients2,26,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T0,T0_S5-24,2015-06-30,8.91694434633345E-05,0.010857077,0.0109462464,0.9918538794,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,
S5-24,S5,T23,T23_S5-24,2017-06-15,0,0.0102636566,0.0102636566,1,Yes,Nutrients2,32,Bleaching,Control,1,NH4,NH4,1,,
S5-24,S5,T14,T14_S5-24,2016-07-19,0.0005272315,0.0241592066,0.0246864381,0.9786428707,Yes,Nutrients2,27,Control,Control,1,NH4,NH4,1,,
S5-9,S5,T0,T0_S5-9,2015-06-30,0.0032624252,0.0534746198,0.0567370451,0.9424992046,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S5-9,S5,T4,T4_S5-9,2015-12-12,0.0039089534,0.0039939776,0.007902931,0.5053792846,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S5-9,S5,T2,T2_S5-9,2015-09-17,0.0017216141,0.0084192628,0.0101408769,0.8302302531,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S5-9,S5,T5,T5_S5-9,2016-01-14,0.007094664,0.0047910133,0.0118856773,0.4030913179,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S5-9,S5,T3,T3_S5-9,2015-10-21,0.0514379366,0.1042756574,0.155713594,0.66966316,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S5-9,S5,T1,T1_S5-9,2015-08-04,0.002249119,0.0258953773,0.0281444962,0.9200867212,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S6-20,S6,T3,T3_S6-20,2015-10-21,0.0035838319,0.2026608339,0.2062446658,0.982623396,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S6-20,S6,T2,T2_S6-20,2015-09-17,0,0.0636127055,0.0636127055,1,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S6-20,S6,T0,T0_S6-20,2015-06-30,0,0.041812738,0.041812738,1,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S6-20,S6,T4,T4_S6-20,2015-12-12,1.734415753054E-05,0.0052700628,0.0052874069,0.9967197234,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S6-20,S6,T1,T1_S6-20,2015-08-04,0,0.0296794879,0.0296794879,1,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S6-20,S6,T9,T9_S6-20,2016-02-12,0,0.0207370737,0.0207370737,1,Yes,Nutrients1,32,Bleaching,Control,1,NA,NA,NA,,NA
S6-20,S6,T5,T5_S6-20,2016-01-14,0,0.0072077214,0.0072077214,1,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S6-20,S6,T8,T8_S6-20,2016-02-05,0,0.0382232569,0.0382232569,1,Yes,Nutrients1,32,Bleaching,Control,1,NA,NA,NA,,NA
S6-5,S6,T15,T15_S6-5,2016-09-26,0,0.0016920325,0.0016920325,1,Yes,Nutrients2,26,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T20,T20_S6-5,2017-06-01,0,0.026232566,0.026232566,1,Yes,Nutrients2,32,Bleaching,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T11,T11_S6-5,2016-04-05,0,0.0275241447,0.0275241447,1,Yes,Nutrients1,27,Recovery ,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T17,T17_S6-5,2017-05-11,0,0.0168166231,0.0168166231,1,Yes,Nutrients2,26,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T24,T24_S6-5,2017-07-20,0,0.0104254503,0.0104254503,1,Yes,Mcav,26,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T13,T13_S6-5,2016-06-13,0,0.0072346629,0.0072346629,1,Yes,Nutrients2,27,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T2,T2_S6-5,2015-09-17,0,0.0516955645,0.0516955645,1,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T16,T16_S6-5,2017-03-23,0,0.0019208343,0.0019208343,1,Yes,Nutrients2,26,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T23,T23_S6-5,2017-06-15,0,0.0076923778,0.0076923778,1,Yes,Nutrients2,32,Bleaching,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T12,T12_S6-5,2016-05-26,0,0.0056441422,0.0056441422,1,Yes,Nutrients1,27,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T10,T10_S6-5,2016-02-22,0,0.0064764553,0.0064764553,1,Yes,Nutrients1,32,Bleaching,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T0,T0_S6-5,2015-06-30,0.0001404209,0.0182931334,0.0184335543,0.9923823223,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T9,T9_S6-5,2016-02-12,0,0.0158130456,0.0158130456,1,Yes,Nutrients1,32,Bleaching,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T14,T14_S6-5,2016-07-19,5.14696100751123E-05,0.0075068992,0.0075583688,0.9931903812,Yes,Nutrients2,27,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T1,T1_S6-5,2015-08-04,0.000074944,0.0153214263,0.0153963702,0.9951323617,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T4,T4_S6-5,2015-12-12,0.0002334095,0.00301688,0.0032502895,0.928188098,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T5,T5_S6-5,2016-01-14,0.0005546246,0.0075645735,0.0081191982,0.9316897267,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T8,T8_S6-5,2016-02-05,0.001495437,0.0826509276,0.0841463646,0.9822281443,Yes,Nutrients1,32,Bleaching,Control,1,NO3,Control,1,,Ssid
S6-5,S6,T3,T3_S6-5,2015-10-21,0.0013176569,0.0572166957,0.0585343527,0.977489169,Yes,Nutrients1,26,Control,Control,1,NO3,Control,1,,Ssid
S1-6,S1,T5,T5_S1-6,2016-01-14,0.0016152452,1.4696709433102E-05,0.0016299419,0.0090167074,Yes,Nutrients1,26,Control,Fe,1,NH4,NH4,1,,Ssid
S1-6,S1,T9,T9_S1-6,2016-02-12,0.0003628969,2.93359425249649E-05,0.0003922329,0.0747921545,Yes,Nutrients1,32,Bleaching,Fe,1,NH4,NH4,1,,Ssid
S1-6,S1,T11,T11_S1-6,2016-04-05,0.0008069566,0.0003901712,0.0011971278,0.3259227538,Yes,Nutrients1,27,Recovery ,Fe,1,NH4,NH4,1,,Ssid
S1-6,S1,T4,T4_S1-6,2015-12-12,0.0005318974,3.52656314809E-05,0.000567163,0.0621790034,Yes,Nutrients1,26,Control,Fe,1,NH4,NH4,1,,Ssid
