Core,Colony,TimePoint,Sample.Time,Date,C.SH,D.SH,Tot.SH,D.Prp,Bleached_1,Experiment,Temperature,Bleaching,Tre_1,Rep_1,Tre_2,Tre_3,Rep_3,,Tre_4
S1-10,S1,T0,T0_S1-10,2015-06-30,0.0027115705,0.0036363457,0.0063479163,0.5728408491,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S1-10,S1,T4,T4_S1-10,2015-12-12,0.0005841473,2.12183668259146E-05,0.0006053657,0.035050495,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S1-10,S1,T1,T1_S1-10,2015-08-04,0.0008738017,0.0007088185,0.0015826202,0.447876582,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S1-10,S1,T5,T5_S1-10,2016-01-14,0.0006422283,6.10157734407256E-06,0.0006483299,0.0094112232,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S1-10,S1,T2,T2_S1-10,2015-09-17,0.0005945559,0,0.0005945559,0,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S1-10,S1,T3,T3_S1-10,2015-10-21,0.0024174546,0.000149899,0.0025673536,0.0583865822,Yes,Nutrients1,26,Control,Control,1,NA,NA,NA,,NA
S1-26,S1,T4,T4_S1-26,2015-12-12,0.0006323514,0,0.0006323514,0,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T12,T12_S1-26,2016-05-26,0.0006427924,0,0.0006427924,0,Yes,Nutrients1,27,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T0,T0_S1-26,2015-06-30,0.0043187181,0,0.0043187181,0,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T2,T2_S1-26,2015-09-17,0.0009781787,0,0.0009781787,0,Yes,Nutrients1,26,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T15,T15_S1-26,2016-09-26,0.0010760024,0.000016447,0.0010924493,0.0150551534,Yes,Nutrients2,26,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T10,T10_S1-26,2016-02-22,6.76671797066771E-06,0,6.76671797066771E-06,0,Yes,Nutrients1,32,Bleaching,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T26,T26_S1-26,2018-01-22,0.0001340659,4.87238686702999E-05,0.0001827897,0.2665569084,Yes,Mcav,26,Control,Control,1,NH4,NH4,1,,Ssid
S1-26,S1,T24,T24_S1-26,2017-07-20,0.0009547652,2.89741435431444E-05,0.0009837393,0.0294530711,Yes,Mcav,26,Control,Control,1,NH4,NH4,1,,Ssid
