Date,Colony,TimePoint,Core,YII,Sample.Time
2015-06-30,S1,T0,S1-10,0.525,T0_S1-10
2015-08-04,S1,T1,S1-10,0.554,T1_S1-10
2015-10-02,S1,T2,S1-10,0.555,T2_S1-10
2015-10-21,S1,T3,S1-10,0.571,T3_S1-10
2015-12-12,S1,T4,S1-10,0.55,T4_S1-10
2016-01-14,S1,T5,S1-10,0.547,T5_S1-10
2015-06-30,S1,T0,S1-11,0.528,T0_S1-11
2015-08-04,S1,T1,S1-11,0.583,T1_S1-11
2015-10-02,S1,T2,S1-11,0.557,T2_S1-11
2015-10-21,S1,T3,S1-11,0.538,T3_S1-11
2015-12-12,S1,T4,S1-11,0.526,T4_S1-11
2016-01-14,S1,T5,S1-11,0.526,T5_S1-11
2016-01-25,S1,T6,S1-11,0.486,T6_S1-11
2016-02-01,S1,T7,S1-11,0.459,T7_S1-11
2016-02-05,S1,T8,S1-11,0.479,T8_S1-11
2016-02-12,S1,T9,S1-11,0.227,T9_S1-11
2016-02-22,S1,T10,S1-11,0.048,T10_S1-11
2016-04-05,S1,T11,S1-11,0.462,T11_S1-11
2015-06-30,S1,T0,S1-12,0.523,T0_S1-12
2015-08-04,S1,T1,S1-12,0.553,T1_S1-12
2015-10-02,S1,T2,S1-12,0.573,T2_S1-12
2015-10-21,S1,T3,S1-12,0.566,T3_S1-12
2015-12-12,S1,T4,S1-12,0.527,T4_S1-12
2016-01-14,S1,T5,S1-12,0.534,T5_S1-12
2015-06-30,S1,T0,S1-13,0.54,T0_S1-13
2015-08-04,S1,T1,S1-13,0.572,T1_S1-13
2015-10-02,S1,T2,S1-13,0.56,T2_S1-13
2015-10-21,S1,T3,S1-13,0.549,T3_S1-13
2015-12-12,S1,T4,S1-13,0.527,T4_S1-13
2016-01-14,S1,T5,S1-13,0.558,T5_S1-13
2016-01-25,S1,T6,S1-13,0.501,T6_S1-13
2016-02-01,S1,T7,S1-13,0.462,T7_S1-13
2016-02-05,S1,T8,S1-13,0.495,T8_S1-13
2016-02-12,S1,T9,S1-13,0.259,T9_S1-13
2016-02-22,S1,T10,S1-13,0.048,T10_S1-13
2016-04-05,S1,T11,S1-13,0.458,T11_S1-13
2015-06-30,S1,T0,S1-14,0.539,T0_S1-14
2015-08-04,S1,T1,S1-14,0.587,T1_S1-14
2015-10-02,S1,T2,S1-14,0.571,T2_S1-14
2015-10-21,S1,T3,S1-14,0.552,T3_S1-14
2015-12-12,S1,T4,S1-14,0.532,T4_S1-14
2016-01-14,S1,T5,S1-14,0.54,T5_S1-14
2016-01-25,S1,T6,S1-14,0.516,T6_S1-14
2016-02-01,S1,T7,S1-14,0.464,T7_S1-14
2016-02-05,S1,T8,S1-14,0.472,T8_S1-14
2016-02-12,S1,T9,S1-14,0.187,T9_S1-14
2015-06-30,S1,T0,S1-15,0.513,T0_S1-15
2015-08-04,S1,T1,S1-15,0.562,T1_S1-15
2015-10-02,S1,T2,S1-15,0.538,T2_S1-15
2015-10-21,S1,T3,S1-15,0.539,T3_S1-15
2015-12-12,S1,T4,S1-15,0.524,T4_S1-15
2016-01-14,S1,T5,S1-15,0.534,T5_S1-15
2016-01-25,S1,T6,S1-15,0.544,T6_S1-15
2016-02-01,S1,T7,S1-15,0.5,T7_S1-15
2016-02-05,S1,T8,S1-15,0.457,T8_S1-15
2016-02-12,S1,T9,S1-15,0.307,T9_S1-15
2016-02-22,S1,T10,S1-15,0.027,T10_S1-15
2016-04-05,S1,T11,S1-15,0.468,T11_S1-15
2015-06-30,S1,T0,S1-16,0.539,T0_S1-16
2015-08-04,S1,T1,S1-16,0.57,T1_S1-16
2015-10-02,S1,T2,S1-16,0.577,T2_S1-16
2015-10-21,S1,T3,S1-16,0.583,T3_S1-16
2015-12-12,S1,T4,S1-16,0.55,T4_S1-16
2016-01-14,S1,T5,S1-16,0.545,T5_S1-16
2016-01-25,S1,T6,S1-16,0.494,T6_S1-16
2016-02-01,S1,T7,S1-16,0.501,T7_S1-16
2016-02-05,S1,T8,S1-16,0.491,T8_S1-16
2016-02-12,S1,T9,S1-16,0.254,T9_S1-16
2016-02-22,S1,T10,S1-16,0.063,T10_S1-16
2016-04-05,S1,T11,S1-16,0.597,T11_S1-16
2015-06-30,S1,T0,S1-17,0.507,T0_S1-17
2015-08-04,S1,T1,S1-17,0.551,T1_S1-17
2015-10-02,S1,T2,S1-17,0.565,T2_S1-17
2015-10-21,S1,T3,S1-17,0.517,T3_S1-17
2015-12-12,S1,T4,S1-17,0.547,T4_S1-17
2016-01-14,S1,T5,S1-17,0.569,T5_S1-17
2016-01-25,S1,T6,S1-17,0.438,T6_S1-17
2016-02-01,S1,T7,S1-17,0.479,T7_S1-17
2016-02-05,S1,T8,S1-17,0.447,T8_S1-17
2016-02-12,S1,T9,S1-17,0.353,T9_S1-17
2016-02-22,S1,T10,S1-17,0.038,T10_S1-17
2016-04-05,S1,T11,S1-17,0.558,T11_S1-17
2015-06-30,S1,T0,S1-18,0.504,T0_S1-18
2015-08-04,S1,T1,S1-18,0.577,T1_S1-18
2015-10-02,S1,T2,S1-18,0.588,T2_S1-18
2015-10-21,S1,T3,S1-18,0.592,T3_S1-18
2015-12-12,S1,T4,S1-18,0.547,T4_S1-18
2016-01-14,S1,T5,S1-18,0.573,T5_S1-18
2015-06-30,S1,T0,S1-19,0.546,T0_S1-19
2015-08-04,S1,T1,S1-19,0.504,T1_S1-19
2015-10-02,S1,T2,S1-19,0.475,T2_S1-19
2015-10-21,S1,T3,S1-19,0.484,T3_S1-19
2015-12-12,S1,T4,S1-19,0.542,T4_S1-19
2016-01-14,S1,T5,S1-19,0.607,T5_S1-19
2016-01-25,S1,T6,S1-19,0.567,T6_S1-19
2016-02-01,S1,T7,S1-19,0.546,T7_S1-19
2016-02-05,S1,T8,S1-19,0.559,T8_S1-19
2016-02-12,S1,T9,S1-19,0.551,T9_S1-19
2015-06-30,S1,T0,S1-2,0.522,T0_S1-2
2015-08-04,S1,T1,S1-2,0.579,T1_S1-2
2015-10-02,S1,T2,S1-2,0.596,T2_S1-2
2015-10-21,S1,T3,S1-2,0.579,T3_S1-2
2015-12-12,S1,T4,S1-2,0.557,T4_S1-2
2016-01-14,S1,T5,S1-2,0.581,T5_S1-2
2016-01-25,S1,T6,S1-2,0.531,T6_S1-2
2016-02-01,S1,T7,S1-2,0.552,T7_S1-2
2016-02-05,S1,T8,S1-2,0.553,T8_S1-2
2016-02-12,S1,T9,S1-2,0.259,T9_S1-2
2016-02-22,S1,T10,S1-2,0,T10_S1-2
2016-04-05,S1,T11,S1-2,0.564,T11_S1-2
2015-06-30,S1,T0,S1-20,0.509,T0_S1-20
2015-08-04,S1,T1,S1-20,0.522,T1_S1-20
2015-10-02,S1,T2,S1-20,0.506,T2_S1-20
