Date_Time,Temp,Lux,Treatment,Replicate
08/04/15 06:00:00 PM,25.61,2669.5,N,2
08/04/15 06:15:00 PM,25.513,2669.5,N,2
08/04/15 06:30:00 PM,25.513,2669.5,N,2
08/04/15 06:45:00 PM,25.513,2583.4,N,2
08/04/15 07:00:00 PM,25.416,2583.4,N,2
08/04/15 07:15:00 PM,25.416,2669.5,N,2
08/04/15 07:30:00 PM,25.61,2669.5,N,2
08/04/15 07:45:00 PM,25.708,2583.4,N,2
08/04/15 08:00:00 PM,25.61,2583.4,N,2
08/04/15 08:15:00 PM,25.513,0,N,2
08/04/15 08:30:00 PM,25.416,0,N,2
08/04/15 08:45:00 PM,25.319,0,N,2
08/04/15 09:00:00 PM,25.416,0,N,2
08/04/15 09:15:00 PM,25.61,0,N,2
08/04/15 09:30:00 PM,25.61,0,N,2
08/04/15 09:45:00 PM,25.513,0,N,2
08/04/15 10:00:00 PM,25.513,0,N,2
08/04/15 10:15:00 PM,25.708,0,N,2
08/04/15 10:30:00 PM,25.708,0,N,2
08/04/15 10:45:00 PM,25.61,0,N,2
08/04/15 11:00:00 PM,25.61,0,N,2
08/04/15 11:15:00 PM,25.708,0,N,2
08/04/15 11:30:00 PM,25.805,0,N,2
08/04/15 11:45:00 PM,25.805,0,N,2
08/05/15 12:00:00 AM,25.61,0,N,2
08/05/15 12:15:00 AM,25.708,0,N,2
08/05/15 12:30:00 AM,25.805,0,N,2
08/05/15 12:45:00 AM,25.902,0,N,2
08/05/15 01:00:00 AM,25.902,0,N,2
08/05/15 01:15:00 AM,25.708,0,N,2
08/05/15 01:30:00 AM,25.708,0,N,2
08/05/15 01:45:00 AM,25.805,0,N,2
08/05/15 02:00:00 AM,25.902,0,N,2
08/05/15 02:15:00 AM,26,0,N,2
08/05/15 02:30:00 AM,26,0,N,2
08/05/15 02:45:00 AM,25.805,0,N,2
08/05/15 03:00:00 AM,25.902,0,N,2
08/05/15 03:15:00 AM,25.902,0,N,2
08/05/15 03:30:00 AM,26,0,N,2
08/05/15 03:45:00 AM,26,0,N,2
08/05/15 04:00:00 AM,25.902,0,N,2
08/05/15 04:15:00 AM,25.805,0,N,2
08/05/15 04:30:00 AM,25.902,0,N,2
08/05/15 04:45:00 AM,26,0,N,2
08/05/15 05:00:00 AM,26,0,N,2
08/05/15 05:15:00 AM,26.097,0,N,2
08/05/15 05:30:00 AM,26.097,0,N,2
08/05/15 05:45:00 AM,25.902,0,N,2
08/05/15 06:00:00 AM,25.902,0,N,2
08/05/15 06:15:00 AM,25.902,0,N,2
08/05/15 06:30:00 AM,26,0,N,2
08/05/15 06:45:00 AM,26.097,0,N,2
08/05/15 07:00:00 AM,26.097,0,N,2
08/05/15 07:15:00 AM,26.097,0,N,2
08/05/15 07:30:00 AM,26.195,0,N,2
08/05/15 07:45:00 AM,26.097,0,N,2
08/05/15 08:00:00 AM,26,0,N,2
08/05/15 08:15:00 AM,26,2583.4,N,2
08/05/15 08:30:00 AM,26.097,2583.4,N,2
08/05/15 08:45:00 AM,26.195,2755.6,N,2
08/05/15 09:00:00 AM,26.292,2583.4,N,2
08/05/15 09:15:00 AM,26.292,2669.5,N,2
08/05/15 09:30:00 AM,26.195,2669.5,N,2
08/05/15 09:45:00 AM,26.683,96.9,N,2
08/05/15 10:00:00 AM,26.488,10.8,N,2
08/05/15 10:15:00 AM,26,139.9,N,2
08/05/15 10:30:00 AM,26.195,2497.2,N,2
08/05/15 10:45:00 AM,26.195,2583.4,N,2
08/05/15 11:00:00 AM,26,2497.2,N,2
08/05/15 11:15:00 AM,25.902,2497.2,N,2
08/05/15 11:30:00 AM,26,2583.4,N,2
08/05/15 11:45:00 AM,25.902,2497.2,N,2
08/05/15 12:00:00 PM,25.805,2497.2,N,2
08/05/15 12:15:00 PM,25.805,2583.4,N,2
08/05/15 12:30:00 PM,25.805,2583.4,N,2
08/05/15 12:45:00 PM,25.805,2583.4,N,2
08/05/15 01:00:00 PM,25.708,2669.5,N,2
08/05/15 01:15:00 PM,25.708,2583.4,N,2
08/05/15 01:30:00 PM,25.708,2669.5,N,2
08/05/15 01:45:00 PM,25.708,2583.4,N,2
